motif	motif_importance__healthy_OPC	motif_importance__healthy_oligodendrocyte	score_raw__healthy_OPC	score_raw__healthy_oligodendrocyte	score_legacy__healthy_OPC	score_legacy__healthy_oligodendrocyte
AHR	0.0019838473880130995	0.003056828449373189	0.0	0.0	0.0	0.0
AIRE	0.0016473873290986317	0.0010846280459342779	0.0	0.0	0.0	0.0
AP1/1	0.005089330743537079	0.005410688509108585	0.0	0.0	0.0	0.0
AP1/2	0.0024148936799579333	0.0034982250714813445	0.0	0.0	0.0	0.0
ARI5A	0.0006532244525000346	0.00015294650218643455	0.0	0.0	0.0	0.0
ARI5B	0.0014454639600647943	0.00140398642986664	0.0	0.0	0.0	0.0
BATF	0.0023344433774292765	0.002341336717052559	0.0	0.0	0.0	0.0
BCL6/1	0.00010934206028420693	0.00011443116761251194	0.0	0.0	0.0	0.0
BCL6/2	0.0020143767757251087	0.005037292654987695	0.0	0.0	0.0	0.0
CCAAT/CEBP	0.0014360178474889878	0.0016439841299483715	0.0	0.0	0.0	0.0
CENBP	0.0007807285989278112	0.000985552499674377	0.0	0.0	0.0	0.0
CPEB1	0.0017610782669171422	0.002666099074084591	0.0	0.0	0.0	0.0
CREB/ATF/1	0.0011322143794125939	0.0014405350285785694	0.0	0.0	0.0	0.0
CREB/ATF/2	0.0012796247849811355	0.0012848114524887304	0.0	0.0	0.0	0.0
CREB/ATF/3	0.001742668642904821	0.0017851790259738988	0.0	0.0	0.0	0.0
CREB3/XBP1	0.004525610984619139	0.006115115866776509	0.0	0.0	0.0	0.0
CTCF	0.02299798090016543	0.0315638079653238	0.0	0.0	0.0	0.0
CUX/1	0.0007152553157020409	0.0010308919671268965	0.0	0.0	0.0	0.0
CUX/2	0.0005302196075842634	0.000291924418998842	0.0	0.0	0.0	0.0
CUX/3	6.302100760696437e-05	4.654288044138326e-05	0.0	0.0	0.0	0.0
CUX/4	0.0012833350070621512	0.0005990812799941125	0.0	0.0	0.0	0.0
DDIT3+CEBPA	0.002286789166229988	0.00197409642285424	0.0	0.0	0.0	0.0
DMRT1	0.0008882659303782369	0.001730995229798743	0.0	0.0	0.0	0.0
DMRT3	0.0007213138253377241	0.0015312116187068425	0.0	0.0	0.0	0.0
E2F/1	0.011223557632287055	0.009532500355489849	0.0	0.0	0.0	0.0
E2F/2	0.010100158432741976	0.013778581801120203	0.0	0.0	0.0	0.0
E2F/3	0.011059787061669851	0.017631811848436128	0.0	0.0	0.0	0.0
E2F/4	0.0052104011515343085	0.008624379197174374	0.0	0.0	0.0	0.0
EBF1	0.004069874517600232	0.005598764663796647	0.0	0.0	0.0	0.0
EGR	0.003870275617014943	0.005013886170790626	0.0	0.0	0.0	0.0
ETS/1	0.01263187613460615	0.01478042167321317	0.0	0.0	0.0	0.0
ETS/2	0.003147829848868536	0.0036286009266913075	0.0	0.0	0.0	0.0
EVI1/MECOM	0.0015910248793854327	0.0008300466413077715	0.0	0.0	0.0	0.0
EWSR1/FLI1	0.0008067477112196806	0.0006914547333219321	0.0	0.0	0.0	0.0
Ebox/CACCTG	0.00782374441416926	0.008049841844636231	0.0	0.0	0.0	0.0
Ebox/CACGTG/1	0.001603936194288503	0.0021676574015849527	0.0	0.0	0.0	0.0
Ebox/CACGTG/2	0.008139414380068374	0.01058094175439701	0.0	0.0	0.0	0.0
Ebox/CAGATGG	0.006963718138540875	0.008188583270454986	0.0	0.0	0.0	0.0
Ebox/CAGCTG	0.007226470678005141	0.008652103613036083	0.0	0.0	0.0	0.0
Ebox/CATATG	0.0033278450468542426	0.0034357978803069918	0.0	0.0	0.0	0.0
FEZF1	0.0020301874845224934	0.002226495380767197	0.0	0.0	0.0	0.0
FOX/1	0.0013409926229317171	0.002370327214973607	0.0	0.0	0.0	0.0
FOX/2	0.0008434738073452719	0.0010449787425865181	0.0	0.0	0.0	0.0
FOX/3	0.0017237122744056007	0.0021354296738789334	0.0	0.0	0.0	0.0
FOX/4	0.005547112772750795	0.004963652486733374	0.0	0.0	0.0	0.0
FOX/5	0.0050149571630755865	0.004697237826186268	0.0	0.0	0.0	0.0
FOX/6	0.0012487484742442858	0.0010464862446130207	0.0	0.0	0.0	0.0
FOX/7	0.003540304344335353	0.005410681265018507	0.0	0.0	0.0	0.0
